analysis,slice,score_col,target,n,pearson,spearman,auc_high,success_mean,failure_mean
real,ovarian,full_marker_baseline_score_mean,label_bin,8,-0.5769558913541085,-0.570265948512201,0.16666666666666666,0.00901720309848996,0.04153125543677758
real,ovarian,full_marker_baseline_score_mean,best_available_primary_orr,12,-0.45699415914510494,-0.5834878991410141,,,
real,ovarian,full_marker_delta_score_mean,label_bin,8,-0.6284429794280666,-0.6197797868009122,0.13333333333333333,0.0670220882978595,0.42827026818648534
real,ovarian,full_marker_delta_score_mean,best_available_primary_orr,12,-0.2377789435315333,-0.3356643356643357,,,
real,ovarian,full_marker_gene_ordinal_score_mean,label_bin,8,-0.5972810934315531,-0.5668202012651357,0.16666666666666666,1.7083333333333333,2.152777777777778
real,ovarian,full_marker_gene_ordinal_score_mean,best_available_primary_orr,12,-0.2888310968070183,-0.31579141762012675,,,
real,ovarian,full_marker_gene_ordinal_score_from_cohort_mean,label_bin,8,-0.6693419514856723,-0.6648376737370493,0.13333333333333333,1.65,2.1666666666666665
real,ovarian,full_marker_gene_ordinal_score_from_cohort_mean,best_available_primary_orr,12,-0.2732199328156811,-0.2777206394910933,,,
real,ovarian,full_marker_prior_adjusted_ordinal_score,label_bin,8,0.21535276082326618,0.06043978852154994,0.5333333333333333,2.35,2.0833333333333335
real,ovarian,full_marker_prior_adjusted_ordinal_score,best_available_primary_orr,12,0.1531866929928654,0.1403458930534474,,,
real,ovarian,full_marker_delta_ordinal_score_from_cohort_mean,label_bin,8,-0.5943989439169763,-0.5809928937741268,0.16666666666666666,1.85,2.5
real,ovarian,full_marker_delta_ordinal_score_from_cohort_mean,best_available_primary_orr,12,-0.29780721472075133,-0.3513726570927216,,,
real,ovarian,full_marker_delta_prior_adjusted_ordinal_score,label_bin,8,0.13716898705776376,0.0,0.5,2.4,2.25
real,ovarian,full_marker_delta_prior_adjusted_ordinal_score,best_available_primary_orr,12,0.0673095975486979,0.0543835337859028,,,
real,ovarian,predicted_orr_soft_probability_pct,label_bin,8,0.48313513154271737,0.39440531887330776,0.7333333333333333,22.071884615106793,9.536903988827772
real,ovarian,predicted_orr_soft_probability_pct,best_available_primary_orr,12,0.2306744961019344,0.22377622377622378,,,
real,ovarian,atlas_prior_score,label_bin,8,0.316227766016838,0.32274861218395134,0.6666666666666666,2.4,2.0
real,ovarian,atlas_prior_score,best_available_primary_orr,12,0.12153112597559437,0.16630661137192948,,,
